Designator,Mid X,Mid Y,Layer,Rotation
C3,55.88,48.90,Top,270.0
C4,59.05,52.71,Top,0.0
D1,67.31,68.58,Top,0.0
D2,67.31,59.05,Top,0.0
D3,67.31,55.88,Top,0.0
D4,63.50,68.58,Top,0.0
D5,63.50,59.05,Top,0.0
D6,63.50,55.88,Top,0.0
R1,66.67,71.76,Top,180.0
R2,62.87,52.71,Top,0.0
R3,66.67,52.71,Top,0.0
R4,59.05,45.09,Top,180.0
R5,62.23,48.90,Top,90.0
R6,66.67,65.41,Top,0.0
R7,62.23,43.18,Top,0.0
R8,62.23,39.37,Top,0.0
R9,66.67,62.23,Top,180.0
R10,62.87,62.23,Top,0.0
R11,62.23,35.56,Top,0.0
U2,59.05,48.90,Top,0.0
